branch,branch_name,account,invoice,i,item_number,item_name,qty_shipped,item_price,subtotal,net_amount,inv_date,reference,cash_invoice
36,Dammam,320699,524235,N,22101,POWER HORSE CAN,1891,97.0,183427.0,183427.0,2015-04-24,,Cash
12,Riyadh,120973,717556,N,22101,POWER HORSE CAN,1530,97.0,148410.0,148410.0,2015-05-12,,Cash
36,Dammam,320699,520820,N,22101,POWER HORSE CAN,1377,97.0,133569.0,133569.0,2015-02-24,,Cash
12,Riyadh,120973,716786,N,22101,POWER HORSE CAN,1377,97.0,133569.0,133569.0,2015-05-04,,Cash
36,Dammam,320699,523483,N,22101,POWER HORSE CAN,1224,97.0,118728.0,118728.0,2015-04-12,,Cash
12,Riyadh,120973,718816,N,22101,POWER HORSE CAN,1224,97.0,118728.0,118728.0,2015-05-27,,Cash
12,Riyadh,120973,717850,N,22101,POWER HORSE CAN,1224,97.0,118728.0,118728.0,2015-05-16,,Cash
36,Dammam,320699,525553,N,22101,POWER HORSE CAN,1217,97.0,118049.0,118049.0,2015-05-19,,Cash
12,Riyadh,121091,714770,N,22101,POWER HORSE CAN,1070,97.0,103790.0,103790.0,2015-04-12,,Cash
36,Dammam,320699,525250,N,22101,POWER HORSE CAN,1070,97.0,103790.0,103790.0,2015-05-13,,Cash
12,Riyadh,121091,714995,N,22101,POWER HORSE CAN,997,97.0,96709.0,96709.0,2015-04-14,,Cash
36,Dammam,320699,522061,N,22101,POWER HORSE CAN,928,97.0,90016.0,90016.0,2015-03-17,,Cash
12,Riyadh,120973,717450,N,22101,POWER HORSE CAN,918,97.0,89046.0,89046.0,2015-05-11,,Cash
36,Dammam,320699,520789,N,22101,POWER HORSE CAN,918,97.0,89046.0,89046.0,2015-02-23,,Cash
12,Riyadh,120973,712163,N,22101,POWER HORSE CAN,918,97.0,89046.0,89046.0,2015-03-12,,Cash
12,Riyadh,120973,711192,N,22101,POWER HORSE CAN,918,97.0,89046.0,89046.0,2015-03-01,,Cash
12,Riyadh,120973,714874,N,22101,POWER HORSE CAN,918,97.0,89046.0,89046.0,2015-04-13,,Cash
12,Riyadh,120973,713512,N,22101,POWER HORSE CAN,918,97.0,89046.0,89046.0,2015-03-29,,Cash
12,Riyadh,120973,713020,N,22101,POWER HORSE CAN,918,97.0,89046.0,89046.0,2015-03-23,,Cash
36,Dammam,320699,524823,N,22101,POWER HORSE CAN,918,97.0,89046.0,89046.0,2015-05-06,,Cash
12,Riyadh,120973,714236,N,22101,POWER HORSE CAN,918,97.0,89046.0,89046.0,2015-04-06,,Cash
36,Dammam,320699,525907,N,22101,POWER HORSE CAN,917,97.0,88949.0,88949.0,2015-05-25,,Cash
36,Dammam,320699,526266,N,22101,POWER HORSE CAN,765,97.0,74205.0,74205.0,2015-06-01,,Cash
36,Dammam,320699,521603,N,22101,POWER HORSE CAN,765,97.0,74205.0,74205.0,2015-03-10,,Cash
12,Riyadh,120973,713113,N,22101,POWER HORSE CAN,765,97.0,74205.0,74205.0,2015-03-24,,Cash
36,Dammam,320699,526084,N,22101,POWER HORSE CAN,765,97.0,74205.0,74205.0,2015-05-28,,Cash
12,Riyadh,120973,718114,N,22101,POWER HORSE CAN,765,97.0,74205.0,74205.0,2015-05-19,,Cash
36,Dammam,320699,524634,N,22101,POWER HORSE CAN,764,97.0,74108.0,74108.0,2015-05-03,,Cash
36,Dammam,320699,523750,N,22101,POWER HORSE CAN,763,97.0,74011.0,74011.0,2015-04-16,,Cash
36,Dammam,320699,524710,N,22101,POWER HORSE CAN,761,97.0,73817.0,73817.0,2015-05-04,,Cash
36,Dammam,320699,522446,N,22101,POWER HORSE CAN,760,97.0,73720.0,73720.0,2015-03-24,,Cash
36,Dammam,320699,520941,N,22101,POWER HORSE CAN,687,97.0,66639.0,66639.0,2015-02-26,,Cash
36,Dammam,320699,523312,N,22101,POWER HORSE CAN,681,97.0,66057.0,66057.0,2015-04-09,,Cash
22,Khames,182552,75711,N,10111,NOVA 0.33 LITRE (40 BOTTLES),3621,17.0,61557.0,61557.0,2015-06-16,,Cash
12,Riyadh,120973,716872,N,22101,POWER HORSE CAN,612,97.0,59364.0,59364.0,2015-05-05,,Cash
36,Dammam,320699,522954,N,22101,POWER HORSE CAN,612,97.0,59364.0,59364.0,2015-04-02,,Cash
12,Riyadh,120973,711578,N,22101,POWER HORSE CAN,612,97.0,59364.0,59364.0,2015-03-05,,Cash
36,Dammam,320699,521102,N,22101,POWER HORSE CAN,612,97.0,59364.0,59364.0,2015-03-01,,Cash
36,Dammam,320699,521544,N,22101,POWER HORSE CAN,612,97.0,59364.0,59364.0,2015-03-09,,Cash
12,Riyadh,120973,716986,N,22101,POWER HORSE CAN,611,97.0,59267.0,59267.0,2015-05-06,,Cash
36,Dammam,320699,524266,N,22101,POWER HORSE CAN,611,97.0,59267.0,59267.0,2015-04-26,,Cash
36,Dammam,320699,519613,N,22101,POWER HORSE CAN,611,97.0,59267.0,59267.0,2015-02-01,,Cash
36,Dammam,320699,521465,N,22101,POWER HORSE CAN,610,97.0,59170.0,59170.0,2015-03-08,,Cash
36,Dammam,320699,525304,N,22101,POWER HORSE CAN,610,97.0,59170.0,59170.0,2015-05-14,,Cash
36,Dammam,320699,521231,N,22101,POWER HORSE CAN,602,97.0,58394.0,58394.0,2015-03-04,,Cash
36,Dammam,320699,518252,N,22101,POWER HORSE CAN,602,97.0,58394.0,58394.0,2015-01-07,,Cash
36,Dammam,320699,518969,N,22101,POWER HORSE CAN,559,97.0,54223.0,54223.0,2015-01-21,,Cash
36,Dammam,320699,522304,N,22101,POWER HORSE CAN,559,97.0,54223.0,54223.0,2015-03-22,,Cash
36,Dammam,320699,520312,N,22101,POWER HORSE CAN,546,97.0,52962.0,52962.0,2015-02-14,,Cash
36,Dammam,320699,519752,N,22101,POWER HORSE CAN,534,97.0,51798.0,51798.0,2015-02-03,,Cash
